@relation 'TRAININGDATA-weka.filters.unsupervised.attribute.Remove-R1,3,5,7-12'

@attribute selectivity numeric
@attribute postgesEstCostMax numeric
@attribute postgesEstWidth numeric
@attribute numberOfWorkers numeric
@attribute realTime numeric

@data
10,819633.64,404,6,36.099159
100,2169700.7,404,6,130.80572
0.1,614129.68,412,6,15.339213
1,690366.92,412,6,18.427526
10,825219.64,412,6,41.968028
100,2192162.7,412,6,148.185337
0.1,617155.68,420,6,12.059052
10,830803.64,420,6,36.676905
100,2214624.7,420,6,144.919741
0.1,593657.75,51,6,6.477882
1,632959.91,51,6,8.517684
100,1395052.02,51,6,65.25121
0.1,614653.64,101,6,7.209488
10,736475.09,101,6,14.197108
100,1514779.93,101,6,68.364819
10,784663.09,152,6,15.46746
1,690471.91,159,6,10.732879
100,1822786.02,159,6,74.754305
1,693401.91,166,6,11.066704
100,1825716.02,166,6,79.624718
1,693401.91,173,6,11.446492
10,795619.01,173,6,19.084301
0.1,638545.75,180,6,10.982702
1,696331.91,180,6,12.602986
1,699261.91,187,6,14.369133
100,1831576.02,187,6,83.397141
0.1,644685.86,194,6,9.777266
1,705170.64,194,6,12.277647
10,812162.92,194,6,20.769071
100,1891536.1,194,6,89.727674
0.1,647803.86,208,6,10.778624
10,820400.92,208,6,22.192062
0.1,650829.86,215,6,13.916356
1,714088.64,215,6,14.655707
10,825986.92,215,6,26.791121
100,1955988.1,215,6,101.428126
0.1,653123.34,222,6,11.465781
10,837392.15,222,6,25.091492
100,2027472.22,222,6,108.394264
100,2068490.22,229,6,107.163239
0.1,655365.34,236,6,12.792214
0.1,655653.34,244,6,12.734325
1,727748.28,244,6,15.649685
0.1,655941.34,252,6,13.364458
1,730808.28,252,6,22.733858
100,2205210.22,252,6,120.76743
1,733868.28,260,6,15.161144
10,871208.15,260,6,35.73086
100,2263802.22,260,6,113.559851
0.1,656421.34,268,6,12.859789
1,735908.28,268,6,17.88303
0.1,656517.34,276,6,15.014528
1,736928.28,276,6,18.507053
100,2322396.22,276,6,178.247425
10,879174.15,284,6,50.346535
100,2322396.22,284,6,141.146078
0.1,656803.34,292,6,12.702802
1,739988.28,292,6,17.103666
100,2380990.22,292,6,132.812295
0.1,657091.34,300,6,13.13804
1,743048.28,300,6,15.963006
